id,loan_amnt,int_rate,estimated_default_prob,expected_profit
140375090,30000,13.56,0.378238541551788,2529.325612967327
140373199,10000,13.56,0.378687974397971,842.4991067163513
140265853,33000,13.56,0.379677819254772,2775.817694398746
140638289,35000,13.56,0.379802459712389,2943.4575262050016
139668502,20000,13.56,0.379980426272808,1681.4930839481449
141051978,10000,13.56,0.380238928920322,840.3960123840433
139500711,35000,13.56,0.380241239262759,2941.3750784589456
139925747,35000,13.56,0.380564680873014,2939.8400245766757
138371599,35000,13.56,0.38059445087763,2939.698736134768
139633009,35000,13.56,0.380661338118636,2939.3812892889537
140314678,11000,13.56,0.380723060734326,923.7134826086793
139682800,25000,13.56,0.380817812926306,2099.0276141798226
140852248,35000,13.56,0.38084173780179,2938.5251123927046
138790851,33600,13.56,0.380911628741442,2820.6656735933916
140633893,20000,13.56,0.381020841175951,1678.6714787308208
140285169,15000,13.56,0.381085590514274,1258.8719088939665
140376460,10000,13.56,0.381171885010135,839.130923926257
140427758,12000,13.56,0.381188356384564,1006.9303064910375
139330312,10000,13.56,0.3812569972786,839.0155116902184
140597509,30000,13.56,0.381257494917041,2517.0445106774773
140960774,35000,13.56,0.381305771443666,2936.322808728361
140658321,24000,13.56,0.381369152361768,2013.2722305538625
139241837,23000,13.56,0.381483354753815,1929.0297131938019
139659298,12000,13.56,0.381581575281054,1006.2904607026688
138619758,32550,13.56,0.381616327964855,2729.409483955282
140985353,12000,13.56,0.381720853443433,1006.0638272768459
140610681,28000,13.56,0.381771304516949,2347.2907110100477
139822134,28000,13.56,0.381788962198647,2347.223668324177
139962988,5300,13.56,0.381800726491086,444.2874538853863
139933297,25000,13.56,0.381831582912605,2095.590933926269
140012697,11000,13.56,0.381882890083958,921.9834811507683
140325256,30000,13.56,0.381886079948236,2514.487426770576
139598579,10000,13.56,0.381920121766752,838.1163148842842
140684682,17400,13.56,0.381963524902888,1458.21998080313
140602784,25000,13.56,0.38196560717959,2095.13659166119
140625066,12000,13.56,0.38198598118223,1005.6324114202755
140001836,16000,13.56,0.382042186687707,1340.7212717623506
138247023,30000,13.56,0.382051174392008,2513.8158225733114
139184626,30000,13.56,0.382067228310777,2513.750515231759
140383641,24000,13.56,0.382149125779722,2010.7338850624726
140855248,35000,13.56,0.382152755257264,2932.303023549025
140225035,35000,13.56,0.38218425632965,2932.153519459481
139889208,35000,13.56,0.382197435676975,2932.0909702770764
139834569,10000,13.56,0.382218412065902,837.7118332386368
140678955,35000,13.56,0.382232814355659,2931.923063068042
139825357,21000,13.56,0.382242810071786,1759.1253740395819
139678528,10925,13.56,0.382284224674671,915.1026810402022
140317113,26000,13.56,0.382293555022662,2177.7858424121027
140349316,12000,13.56,0.382314374921727,1005.0980491273658
139752264,10000,13.56,0.382395608613282,837.4715547203896
140326967,35000,13.56,0.382401355120131,2931.1231685998578
139474064,35000,13.56,0.382418827048629,2931.0402468272064
135423496,35000,13.56,0.382432512696943,2930.9752947403085
140538645,25000,13.56,0.382447792602915,2093.501983076118
140655537,20000,13.56,0.382451551674915,1674.7913918576307
140724087,10000,13.56,0.382480236206736,837.356799703666
140936526,20000,13.56,0.382488913802257,1674.690065768279
139752582,12000,13.56,0.382527668542618,1004.750977747452
139189983,12000,13.56,0.382544576031294,1004.7234658818785
139821950,24700,13.56,0.382546696057888,2068.0486999593945
139493616,25000,13.56,0.382583452632755,2093.0420955749605
140655639,13500,13.56,0.382604059861711,1130.2050080171518
139407962,10000,13.56,0.382608870495557,837.1823716080247
140379305,30750,13.56,0.382669593174591,2574.0825973399083
140239529,20000,13.56,0.382679764411286,1674.1724789165924
139481430,17000,13.56,0.382720769418876,1422.952082335607
141048136,26000,13.56,0.382722549119244,2176.273380825193
138859720,10000,13.56,0.382775814686997,836.955995284432
137687846,24525,13.56,0.382805872916039,2052.53461708915
140704149,25000,13.56,0.38283246732373,2092.1979357725554
139228979,21000,13.56,0.382864941737522,1757.353791908232
138520726,15000,13.56,0.382880236571639,1255.2215988132862
139485627,12000,13.56,0.382902723478924,1004.140688355095
140866605,20000,13.56,0.382922645889277,1673.513784348281
139535224,20000,13.56,0.382978085385779,1673.3634324337675
140746551,29600,13.56,0.383004804922859,2476.470634192826
140228232,17500,13.56,0.383019542006308,1464.094626819031
140636276,17700,13.56,0.383099614043657,1480.6349543415379
140615293,30000,13.56,0.383104823184844,2509.5295792840548
139491444,35000,13.56,0.383111408618618,2927.7532546960388
139506286,23000,13.56,0.383111579934802,1923.9516044993397
139703245,17000,13.56,0.38312882940133,1422.011422464054
140479323,35000,13.56,0.383143296607333,2927.601914301598
140686018,33575,13.56,0.383172273912869,2808.274766497708
140698582,35000,13.56,0.383224128977685,2927.2182838719073
140598256,14500,13.56,0.38325130304133,1212.6512879601369
139630086,10000,13.56,0.383252198928905,836.3100182524048
139801341,12000,13.56,0.38326404447177,1003.5527468355359
140904795,35000,13.56,0.383280507909001,2926.9507094638816
139348650,30800,13.56,0.383299847818867,2575.635851581458
140610060,12000,13.56,0.383307818528827,1003.4815176898927
139512135,16000,13.56,0.383396690440493,1337.782540420306
140102085,25000,13.56,0.383401825155189,2090.2678127239096
140022131,17800,13.56,0.383405891048547,1488.260868893943
139885868,15000,13.56,0.383409650688351,1254.144770499894
139285377,12000,13.56,0.383444928123081,1003.2584129581227
139535507,10000,13.56,0.383456113790187,836.0335097005063
139311282,11900,13.56,0.383496405907703,994.8148595710941
139553205,10000,13.56,0.383516740843713,835.9512994159252
140466048,30000,13.56,0.38351848072426,2507.8468204137102
