id,loan_amnt,int_rate,estimated_default_prob,expected_profit
140138838,16000,6.11,0.0930028240109205,886.6804392469242
140282270,40000,6.11,0.11309123110403,2167.6050311817507
139651872,40000,6.11,0.116471610075566,2159.3433849753164
139826797,35000,6.11,0.117784141865626,1886.6186126203588
140832746,25000,6.11,0.117792065442992,1347.5726200358297
138494127,40000,6.11,0.118334407519707,2154.790708021836
140285106,40000,6.11,0.118337018149795,2154.7843276419007
140822935,40000,6.11,0.118368331902795,2154.707796829569
141059279,20000,6.11,0.118490338427237,1077.2048064419164
140962969,30000,6.11,0.118535273013365,1615.724844566502
139380821,4000,6.11,0.118616765650275,215.4100624750728
139387512,20000,6.11,0.118677213894066,1076.9764446214513
140365974,40000,6.11,0.118881150479201,2153.454468228833
140482401,40000,6.11,0.119013616573974,2153.1307210932073
140707734,40000,6.11,0.11909451379816,2152.9330082772967
140917411,20000,6.11,0.119208414253409,1076.3273177823341
140285116,39025,6.11,0.11921270646779,2100.1734443487735
140240820,32000,6.11,0.119217508624986,1722.1059271364275
140482673,35000,6.11,0.119245125512587,1883.4942990913326
138239972,11000,6.11,0.119272906253045,591.9366797073285
140984173,40000,6.11,0.119326780054779,2152.36534954612
139922202,31025,6.11,0.119357450391552,1669.3702347078884
137809277,40000,6.11,0.119366615135501,2152.267992608836
139587504,40000,6.11,0.119371807840112,2152.255301638766
140870371,40000,6.11,0.119437256320279,2152.095345553238
138761938,36000,6.11,0.119511917322939,1936.7215866564634
139245224,11000,6.11,0.119515311455101,591.7737591710267
139508679,10000,6.11,0.119618668332535,537.9129936488212
139801425,21000,6.11,0.119642443690421,1129.5867805008209
141030556,40000,6.11,0.119649935536192,2151.575557549547
139502353,16000,6.11,0.119675498626489,860.6052325427444
139496138,30000,6.11,0.11969169842132,1613.6051167937205
140034584,29000,6.11,0.119853515648337,1559.5315556227117
139676100,40000,6.11,0.119884093005938,2151.003276693488
140293934,5000,6.11,0.119903919796214,268.8693525022566
140601921,40000,6.11,0.119913674842423,2150.930978685118
140676610,30000,6.11,0.119924847255745,1613.1777549802193
139848955,40000,6.11,0.119991398132786,2150.741022963471
140293939,18500,6.11,0.119999445184098,994.7086271361547
140371773,20000,6.11,0.120008376287246,1075.3497641769854
140975893,20000,6.11,0.120119015643453,1075.2145628837004
139998028,40000,6.11,0.120122743461504,2150.4200149800845
140240387,10000,6.11,0.120182265877233,537.5686355490107
140612983,37000,6.11,0.120182994757556,1989.002303751593
139482527,23000,6.11,0.12018813123454,1236.399619176101
138895199,25000,6.11,0.120201638384763,1343.8919973672744
140878571,40000,6.11,0.120215257680326,2150.193910229283
140808996,40000,6.11,0.120231863808143,2150.1533248528985
140795257,28000,6.11,0.12028621819794,1505.014337906964
138394855,35000,6.11,0.120298581870396,1881.2414826701581
140425804,40000,6.11,0.120377941455708,2149.7963110822498
139314912,10000,6.11,0.120382441944141,537.4463279721298
139475464,10000,6.11,0.120402687571434,537.4339578938539
140019953,16000,6.11,0.12040298659839,859.894040301414
139961215,14000,6.11,0.120406545356173,752.4042411023296
140307360,25000,6.11,0.120410857076749,1343.572415815266
139722709,24975,6.11,0.120449639195797,1342.1696629522917
139478179,12000,6.11,0.120455382770435,644.882113352717
138611512,40000,6.11,0.120475850783716,2149.5570206845982
140458447,40000,6.11,0.120495288646978,2149.509514546786
139577568,12500,6.11,0.12051762768234,671.7046618576128
139665622,40000,6.11,0.120523123898053,2149.4414851931583
140428629,40000,6.11,0.120543907976124,2149.390688906353
140525561,25000,6.11,0.120561833389863,1343.3417994969843
138504675,40000,6.11,0.120604564525043,2149.242444300795
139853513,10000,6.11,0.120604909269723,537.3104004361992
141054754,18000,6.11,0.120607048837593,967.1563676884152
140619042,37000,6.11,0.120671465227306,1987.8980185606292
140489147,14000,6.11,0.120675025093774,752.1745835347857
140826339,5100,6.11,0.120697138003362,273.99956482677237
140103089,7000,6.11,0.120722335734207,376.0670570064797
140826849,16000,6.11,0.120727559576593,859.5767377579227
139030666,40000,6.11,0.120734233983989,2148.925532143131
140895780,35000,6.11,0.120754012739554,1880.2675437564637
139540768,5900,6.11,0.120775434984016,316.9516634426121
140897529,31250,6.11,0.120800736659709,1678.7210934403681
140865782,35000,6.11,0.120815543579233,1880.1359600558103
139362778,40000,6.11,0.120858858139524,2148.6209507070034
140435434,35000,6.11,0.120860271267334,1880.0403098948061
140816128,24000,6.11,0.12088543771865,1289.1335941293717
140404572,2200,6.11,0.1208873788428,118.17031853595081
140683185,40000,6.11,0.120930495418623,2148.4458691968853
140372641,10000,6.11,0.120967588560982,537.08880338924
139940338,35000,6.11,0.120969448101061,1879.806835235881
140035965,10000,6.11,0.120992733624247,537.0734397555851
139641809,7000,6.11,0.120998865330995,375.9487852979334
138319626,24000,6.11,0.121004489744546,1288.9590162385978
140495907,7825,6.11,0.121009154713169,420.2521155629736
139559470,40000,6.11,0.121020654018995,2148.2255215775763
140602617,38000,6.11,0.12104744657838,2040.7520385343175
140425618,20000,6.11,0.12105876578037,1074.066188216388
139753731,40000,6.11,0.121061609725867,2148.125425829981
139584674,40000,6.11,0.121079265900615,2148.082274138897
140679562,15000,6.11,0.121108621284723,805.5039485925514
139979571,20000,6.11,0.121114089267444,1073.9985829151833
139885537,15000,6.11,0.121118579428662,805.4948219536312
139682133,24000,6.11,0.121131981071142,1288.7720629572775
139490749,35000,6.11,0.121134195385179,1879.4545231687948
139603650,22000,6.11,0.121175885154082,1181.315375175883
140648917,35000,6.11,0.121177724414867,1879.361436338807
140109113,20000,6.11,0.121183361999222,1073.9139316369508
