ID,Loan_Amount,Grade,Interest_Rate,Default_Prob
140138838,16000,A,0.0611,0.0930028240109205
140282270,40000,A,0.0611,0.11309123110403
139651872,40000,A,0.0611,0.116471610075566
139826797,35000,A,0.0611,0.117784141865626
140832746,25000,A,0.0611,0.117792065442992
138494127,40000,A,0.0611,0.118334407519707
140285106,40000,A,0.0611,0.118337018149795
140822935,40000,A,0.0611,0.118368331902795
141059279,20000,A,0.0611,0.118490338427237
140962969,30000,A,0.0611,0.118535273013365
139380821,4000,A,0.0611,0.118616765650275
139387512,20000,A,0.0611,0.118677213894066
140365974,40000,A,0.0611,0.118881150479201
140482401,40000,A,0.0611,0.119013616573974
140707734,40000,A,0.0611,0.11909451379816
140917411,20000,A,0.0611,0.119208414253409
140285116,39025,A,0.0611,0.11921270646779
140240820,32000,A,0.0611,0.119217508624986
140482673,35000,A,0.0611,0.119245125512587
138239972,11000,A,0.0611,0.119272906253045
140984173,40000,A,0.0611,0.119326780054779
139922202,31025,A,0.0611,0.119357450391552
137809277,40000,A,0.0611,0.119366615135501
139587504,40000,A,0.0611,0.119371807840112
140870371,40000,A,0.0611,0.119437256320279
138761938,36000,A,0.0611,0.119511917322939
139245224,11000,A,0.0611,0.119515311455101
139508679,10000,A,0.0611,0.119618668332535
139801425,21000,A,0.0611,0.119642443690421
141030556,40000,A,0.0611,0.119649935536192
139502353,16000,A,0.0611,0.119675498626489
139496138,30000,A,0.0611,0.11969169842132
140034584,29000,A,0.0611,0.119853515648337
139676100,40000,A,0.0611,0.119884093005938
140293934,5000,A,0.0611,0.119903919796214
140601921,40000,A,0.0611,0.119913674842423
140676610,30000,A,0.0611,0.119924847255745
139848955,40000,A,0.0611,0.119991398132786
140293939,18500,A,0.0611,0.119999445184098
140371773,20000,A,0.0611,0.120008376287246
140975893,20000,A,0.0611,0.120119015643453
139998028,40000,A,0.0611,0.120122743461504
140240387,10000,A,0.0611,0.120182265877233
140612983,37000,A,0.0611,0.120182994757556
139482527,23000,A,0.0611,0.12018813123454
138895199,25000,A,0.0611,0.120201638384763
140878571,40000,A,0.0611,0.120215257680326
140808996,40000,A,0.0611,0.120231863808143
140795257,28000,A,0.0611,0.12028621819794
138394855,35000,A,0.0611,0.120298581870396
140425804,40000,A,0.0611,0.120377941455708
139314912,10000,A,0.0611,0.120382441944141
139475464,10000,A,0.0611,0.120402687571434
140019953,16000,A,0.0611,0.12040298659839
139961215,14000,A,0.0611,0.120406545356173
140307360,25000,A,0.0611,0.120410857076749
139722709,24975,A,0.0611,0.120449639195797
139478179,12000,A,0.0611,0.120455382770435
138611512,40000,A,0.0611,0.120475850783716
140458447,40000,A,0.0611,0.120495288646978
139577568,12500,A,0.0611,0.12051762768234
139665622,40000,A,0.0611,0.120523123898053
140428629,40000,A,0.0611,0.120543907976124
